,Document Title,Publication Title,Publication Year,Start Page,End Page,DOI,PDF Link,Abstract,Author Keywords
32,Where Have All the Stencils Gone?,IEEE Software,2009,91,92,10.1109/MS.2009.108,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076466,"Requirements analysts rarely use manual stencils nowadays. Technological advances mean that analysts can draw many types of diagrams. In this column, invited columnist Colin Codephirst asks whether this is progress, reflects on the advantages of old-style stencils, and muses on whether these stencils offered some advantages that have been forgotten. He outlines the requirements for a new stencil for analysts in the 21st century.",requirements analysis;methods;stencils
33,Requirements in the medical domain: Experiences and prescriptions,IEEE Software,2002,66,69,10.1109/MS.2002.1049394,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1049394,"Research shows that information flow in health care systems is inefficient and prone to error. Data is lost, and physicians must repeat tests and examinations because the results are unavailable at the right place and time. Cases of erroneous medication - resulting from misinterpreted, misunderstood, or missing information - are well known and have caused serious health problems and even death. We strongly believe that through effective use of information technology, we can improve both the quality and efficiency of the health sector's work. Introducing a new system might shift power from old to young, from doctor to nurse, or from medical staff to administration. Few people appreciate loss of power, but even fewer will admit that the loss of power is why they resist the new system. Thus, we must work hard to bring this into the open and help people realize that a new system doesn't have to threaten their positions. Again, knowledge and understanding of a hospital's organizational structure, both official and hidden, is necessary if the system's introduction is to be successful.",
35,Rational Metaprogramming,IEEE Software,2008,78,79,10.1109/MS.2008.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420074,"Metaprogramming, using programs to manipulate other programs, is as old as programming. From self-modifying machine code in early computers to expressions involving partially applied functions in modern functional-programming languages, metaprogramming is an essential part of an advanced programmer's arsenal. Everyday metaprogramming involves on-the-fly code production. Representative examples include dynamically generated SQL statements and code created for evaluation at runtime in interpreted languages. Metaprogramming also occurs in programs that spew out HTML or XML. Although we can't classify these markup languages as code, their rich syntactic structure qualifies their generation as metaprogramming. Unfortunately, we commonly produce code on the fly by simply pasting together character strings. This means that it's difficult to verify essential properties of the generated code - such as validity, correctness, and safety - at compile time.",metaprogramming;functional programming;templates;generative programming
36,"Open Collaboration, Data Quality, and COVID-19",IEEE Software,2021,137,141,10.1109/MS.2021.3056642,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407288,"The flavor of this ""Impact"" department is somewhat different. In a pandemic, everybody has to come together. In April 2020, a call went out in the United Kingdom for groups to informally form and collaborate to study this brutal pathogen in whatever way they could. The five authors of this article, old friends from the geophysical industry with decades of experience in numerical modeling and big data, formed such a group.",
37,Managing requirements for business value,IEEE Software,2002,15,17,10.1109/52.991325,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=991325,"Managing requirements for business value? What's there to manage? Aren't they just...there?"" Such perplexity was perfectly understandable in the good old days, when all you had to do was get the requirements from your customer, design your system, and produce one of those awful conformance matrices that demonstrated that you had implemented each and every one of the requirements in your system. Against this dreary backdrop of conformance matrices and the like, it is indeed hard to imagine a role for requirements in the development and execution of business strategy. But, as the song says, the times, they are a changin'. We are now looking outside the traditional boundaries and developing ways of getting maximum business value from our investment in requirements. This paper discusses three ways of realizing this value: managed requirements process, requirements agility, and contractual innovation.",
39,Crowd-Based Ambient Assisted Living to Monitor the Elderly鈥檚 Health Outdoors,IEEE Software,2017,53,57,10.1109/MS.2017.4121217,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8106875,"The SafeNeighborhood approach combines data from multiple sources with collective intelligence. It merges mobile, ambient, and AI technologies with old-fashioned neighborhood ties to create safe outdoor spaces for the elderly. We're exploring AAL techniques in outdoor environments to increase the elderly's independence without them having to interact with technology. Current research in outdoor monitoring relies solely on sensor data.4 Our approach, which we call SafeNeigborhood (SN), crowdsources people in the neighborhood to revise the computer's inferences from contextual and sensor data. So, SN brings the community together to provide a safer environment for the elderly.",human-centered computing;handicapped persons;special needs;healthcare;care for the elderly;ambient assisted living;SafeNeighborhood;software engineering;software development;context-aware and smart healthcare
40,Examining the Rating System Used in Mobile-App Stores,IEEE Software,2016,86,92,10.1109/MS.2015.56,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7045413,"Unlike products on Amazon.com, mobile apps are continuously evolving, with new versions rapidly replacing the old ones. Nevertheless, many app stores still use an Amazon-style rating system, which aggregates every rating ever assigned to an app into one store rating. To examine whether the store rating captures the changing user satisfaction levels regarding new app versions, researchers mined the store ratings of more than 10,000 mobile apps in Google Play, every day for a year. Even though many apps' version ratings rose or fell, their store rating was resilient to fluctuations once they had gathered a substantial number of raters. The conclusion is that current store ratings aren't dynamic enough to capture changing user satisfaction levels. This resilience is a major problem that can discourage developers from improving app quality.",mobile apps;Android;Google Play;review systems;rating;software development;software engineering
41,Software process improvement in small organizations: a case study,IEEE Software,2005,68,75,10.1109/MS.2005.162,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524917,"The Capability Maturity Model for software has become a major force in software development process improvement. We looked at the role of process improvement in the context of a small organization. Although the Capability Maturity Model integration is replacing the CMM, we focused on the older CMM. We had to look at more than which CMM key process areas apply to small businesses. Our overall goal was to institute good software development practices, we used the language of the CMM to gain the management's cooperation. Applying these practices is essential to managing growth, yet undertaking this effort without prior experience could impede a small company's innovative nature. This case study's purpose was to investigate the success factors of a software process improvement effort for a small software development organization.",CMM;organizational culture;process improvement;small companies
44,A linguistic-engineering approach to large-scale requirements management,IEEE Software,2005,32,39,10.1109/MS.2005.1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1377120,"For large software companies, the sheer number of textual requirements presents specific challenges. To find market opportunities, organizations must continuously elicit new requirements and reevaluate old ones as market needs evolve. Developing large, complex software products aimed at broad markets involves identifying and maintaining the link between product requirements and the massive inflow of customers' wishes. Automating this support through linguistic engineering could save considerable time and improve software quality.",requirements engineering;large-scale requirements management;natural language processing;linguistic engineering;requirement relationships;requirements similarity;requirement duplicates;redundancy
45,Is Your Upgrade Worth It? Process Mining Can Tell,IEEE Software,2014,94,100,10.1109/MS.2014.20,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728931,"Software vendors typically release updates and upgrades of their software once or twice a year. Users are then faced with the question of whether the upgrade is worth the price and the trouble. The software industry doesn't provide much evidence that it's worthwhile to upgrade to new releases. The authors propose the use of process mining to prove that upgrading to the next release provides quantifiable benefits to the end user. Process mining capitalizes on the fact that event logs capture information about processes. These events can be used to make processes visible and show the benefits of using a software product's next release. Three groups benefits from this process: end users, software suppliers, and researchers. The authors applied process mining to a medical software product and captured empirical data from 1,400 cases. The data shows that the new version was 11 percent more efficient than the old release.",usability;process mining;product metrics
48,Organizing Security Patterns,IEEE Software,2007,52,60,10.1109/MS.2007.114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4267603,"Early software systems communicated in predefined ways, so they were easy to secure. However, the old ways of ensuring software systems' security and reliability are inadequate on the Internet. Although building secure systems is difficult, retrofitting existing systems to introduce security is even harder. For example, sendmail, the most popular mail transfer agent, has been plagued with security vulnerabilities ever since the Morris worm first exploited it in 1988.",patterns;security;protection
51,How Much of the Software Engineering Old Still Remains New?,IEEE Software,2006,104,104,10.1109/MS.2006.106,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1657949,"Oddly enough, many software engineering issues and conflicts that were relevant 20 years ago are still relevant today.",software engineering;programming
53,Perspectives [The changing nature of software evolution; The inevitability of evolution],IEEE Software,2010,26,29,10.1109/MS.2010.103,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5484112,"Summary form only given. Traditionally, software evolution took place after software development put a system in place. However, the pace of change in technology and competition has changed the nature of software evolution to a continuous process, in which there's no neat boundary between development and evolution. Many traditional software development assumptions and practices haven't recognized this changing nature and increasingly find themselves in deep trouble as a result. Minimizing development costs by adopting numerous off-the-shelf products often leads to unaffordable evolution costs as vendors ship new releases and stop supporting the old ones. Assuming that a single form of evolutionary development covers all situations often leads to unrealistic commitments and dead-end systems as situations change.",software evolution;software engineering;software change;development
54,Guest Editor's Introduction: The Promise of Public Software Engineering Data Repositories,IEEE Software,2005,20,22,10.1109/MS.2005.153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524910,"Scientific discovery related to software is based on a centuries-old paradigm common to all fields of science: setting up hypotheses and testing them through experiments. Repeatedly confirmed hypotheses become models that can describe and predict real-world phenomena. The best-known models in software engineering describe relationships between development processes, cost and schedule, defects, and numerous software ""-ilities"" such as reliability, maintainability, and availability. But, compared to other disciplines, the science of software is relatively new. It's not surprising that most software models have proponents and opponents among software engineers. This introduction to the special issue discusses the power of modeling, the promise of data repositories, and the workshop devoted to this topic.",software engineering methodologies;software engineering validation;model checking;process metrics;software science
55,Novelty in Sameness,IEEE Software,2007,5,7,10.1109/MS.2007.82,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4163015,"Novelty and sameness can conceal each other. Regardless of how things might appear in hindsight, we risk missing the mark if we indiscriminately insist on seeing new proposals and emerging movements simply as reincarnations of old advice, whether to justify or refute them.",incremental development;iterative development;phased development;staged development
56,Designing a World at Your Fingertips: A Look at Mobile User Interfaces,IEEE Software,2012,4,7,10.1109/MS.2012.81,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6265071,"Smart mobile devices have had a huge impact on the world today with new apps being produced at a prodigious rate. How we got to this point has a lot to do with the ease of use that manufacturers and app developers have achieved, which includes aspects such as quick response time, intuitive interfaces, and well-designed functionality. To explore how this came about, IEEE Software Editor-in-Chief Forrest Shull recently spoke with Ben Shneiderman and Ben Bederson, both of whom are former directors of the University of Maryland's Human-Computer Interaction Lab (HCIL), the oldest center in the US focusing on research in HCI.",software;engineering;smart phones;mobile devices;apps;functionality;interfaces;hci;human-computer interaction;lab;HCIL
57,Technology Transfer and the Tech Broker,IEEE Software,2006,5,7,10.1109/MS.2006.142,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687852,"Technology transfer is the process of transferring an idea from its originator to someone who can use it. Typically, this implies the transfer of research developed in academia to industry. While there's no dearth of technologies that academic researchers have available and are anxious to transfer, precious little technology transfer involving academia takes place, at least in the software development community. Why don't we see more tech transfer in our field? What the software community needs is an infrastructure that matches researchers with adopters at a specific point in time and helps them overcome the administrative barriers. One example of a successful technology broker is SERC, a two-decade-old consortium of industrial organizations and universities that facilitates the brokering of technology transfer from academia to industry.",technology transfer
58,Whose bug is it anyway? The battle over handling software flaws,IEEE Software,2004,94,97,10.1109/MS.2004.1270771,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1270771,"Attacks exploit vulnerabilities in software code. They come in many forms: logic attacks, Trojan horses, worms and viruses, and variants of each. They serve a host of purposes: corporate espionage, white-collar crime, social ""hacktivism,"" terrorism, and notoriety. Greater connectivity, more complex software, and the persistence of older protocols ensure growing vulnerability. End users lose time and money when networks go down. Software vendors lose face and market share. Security researchers struggle to keep pace with the bugs to keep businesses operating safely. The only people with no complaints are the hackers, who reverse-engineer patches released by vendors to exploit the holes. It's enough to make you nostalgic for the old days of the Nimba and Code Red viruses, when attacks came six months after vendors released patches. Blaster attacks began three weeks after release. Security experts anticipate so-called ""zero day"" vulnerabilities, in which attacks precede patches. Although marathon patching sessions have become the norm for harried IT administrators, even top-of-the-line patch management can't keep up with malicious code's growing sophistication.",
59,"Mom, Where Are the Girls?",IEEE Software,2021,3,6,10.1109/MS.2020.3044410,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354391,"During the fall semester of 2005, I was working hastily on the finishing touches of my Ph.D. dissertation at Carnegie Mellon University. That semester, I also was the teaching assistant for the Methods of Software Development graduate course taught by Dr. Mary Shaw and Dr. Jim Herbsleb. It was a busy time, with the challenges of finishing graduate school; getting ready for a new job; fulfilling responsibilities such as grading and helping students; and parenting my then three-and-a-half-year-old daughter. Methods of Software Development was a demanding course with a lot of reading and reflection assignments. Students took abundant advantage of the office hours. Those meetings always went better if I remembered the students' names, but with that was all going on, my brain did not always comply, so I had a hack. I had printed all of their photos and hung them right above my desk.",
0,Applicable Micropatches and Where to Find Them: Finding and Applying New Security Hot Fixes to Old Software,"2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)",2021,394,405,10.1109/ICST49551.2021.00051,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438561,"With the complexity and interdependency of modern software sharply rising, the impact of security vulnerabilities and thus the value of broadly available patches has increased drastically. Despite this, it is unclear if the current landscape supports the same level of patch discoverability as that of vulnerabilities - raising questions about whether patches are simply scare or if they are just hard to find (i.e., are there a lot of ""secret patches"" [1]), and, equally important, what kind of patches are they (e.g., are they micropatchable). We seek to assess the current state of patching by analyzing patches for a four-month period of recent Common Vulnerabilities and Exposures (CVEs). At first glance, the state of patching seems abysmal - only one-fourth of CVEs have a labelled patch on the National Vulnerability Database (NVD). However, by searching for indicators on other popular security trackers (e.g., Debian's), we were able to find a lot more ""secret patches"", but the ratio of patched CVEs plateaued around fifty percent.Examining the discovered patches, we noticed that many were version updates, and less than one-tenth had machine accessible source-code micropatches. Using a custom tool that leverages contemporary version control, we were able to test the feasibility of automatically applying these micropatches to older versions of the software and found that approximately two-thirds of the patches can be applied to at least one old version. The failure cases were mostly due to lax practices pertaining to security fixes and general software development (e.g., releasing the fix along with other extraneous features). Reflecting on our investigations, we surmise that between existence, discoverability, and versatility of security patches, existence and discoverability are the bigger problems. As to why this is the case, we find that the answer may lie in the perverse incentive structures of the industry. We conclude with possible remediations and hope that our work at least raises public awareness of the current state of patching and encourages future work to improve the situation.",micropatching;patch discovery;patch testing
1,X10X: Model Checking a New Programming Language with an "Old" Model Checker,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",2012,11,20,10.1109/ICST.2012.81,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200092,"Parallel and distributed computing is becoming a norm with the advent of multi-core, networked, and cloud computing platforms. New programming languages are emerging for these platforms, e.g., the X10 language from IBM. While these languages explicitly support concurrent programming, they cannot eliminate all concurrency related bugs, which are usually hard to find. Finding such bugs is easier using specialized, language-aware model-checking tools. However, such tools are highly complex and developing them from scratch requires large effort. We describe our experience in developing a model-checking tool for a new language, X10, by systematically adapting an existing tool, the JPF model checker for Java. X10 programs can be compiled to Java, but unfortunately checking X10 programs directly with the unmodified JPF and X10 runtime can miss some behaviors and scales very poorly. We present four sets of techniques that can be employed to make checking a new language with an "" old"" model checker practical: (1) modify the model checker, (2) modify the language runtime, (3) extend the language compiler, and (4) develop a new static analysis. We instantiated each technique to enable checking X10 programs with JPF. We evaluated our new techniques on over 100 X10 example programs and found a substantial speedup.",
2,Canopus: A Domain-Specific Language for Modeling Performance Testing,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)",2016,157,167,10.1109/ICST.2016.13,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515468,"Despite all the efforts to reduce the cost of the testing phase in software development, it is still one of the most expensive phases. In order to continue to minimize those costs, in this paper, we propose a Domain-Specific Language (DSL), built on top of MetaEdit+ language workbench, to model performance testing for web applications. Our DSL, called Canopus, was developed in the context of a collaboration<sup>1</sup> between our university and a Technology Development Laboratory (TDL) from an Information Technology (IT) company. We present, in this paper, the Canopus metamodels, its domain analysis, a process that integrates Canopus to Model-Based Performance Testing, and applied it to an industrial case study.",performance testing;domain-specific language;domain-specific modeling;model-based testing
3,A Framework to Support Research in and Encourage Industrial Adoption of Regression Testing Techniques,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",2012,907,908,10.1109/ICST.2012.194,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200107,"When software developers make changes to a program, it is possible that they will introduce faults into previously working parts of the code. As software grows, a regression test suite is run to ensure that the old functionality still works as expected. Yet, as the number of test cases increases, it becomes more expensive to execute the test suite. Reduction and prioritization techniques enable developers to manage large and unwieldy test suites. However, practitioners and researchers do not always use and study these methods due, in part, to a lack of availability. In response to this issue, this paper describes an already released open-source framework that supports both research and practice in regression testing. The sharing of this framework will enable the replication of empirical studies in regression testing and encourage faster industrial adoption of these useful, yet rarely used, techniques.",open-source framework;regression testing
4,Automated Behavioral Regression Testing,"2010 Third International Conference on Software Testing, Verification and Validation",2010,137,146,10.1109/ICST.2010.64,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477091,"When a program is modified during software evolution, developers typically run the new version of the program against its existing test suite to validate that the changes made on the program did not introduce unintended side effects (i.e., regression faults). This kind of regression testing can be effective in identifying some regression faults, but it is limited by the quality of the existing test suite. Due to the cost of testing, developers build test suites by finding acceptable tradeoffs between cost and thoroughness of the tests. As a result, these test suites tend to exercise only a small subset of the program's functionality and may be inadequate for testing the changes in a program. To address this issue, we propose a novel approach called Behavioral Regression Testing (BERT). Given two versions of a program, BERT identifies behavioral differences between the two versions through dynamical analysis, in three steps. First, it generates a large number of test inputs that focus on the changed parts of the code. Second, it runs the generated test inputs on the old and new versions of the code and identifies differences in the tests' behavior. Third, it analyzes the identified differences and presents them to the developers. By focusing on a subset of the code and leveraging differential behavior, BERT can provide developers with more (and more detailed) information than traditional regression testing techniques. To evaluate BERT, we implemented it as a plug-in for Eclipse, a popular Integrated Development Environment, and used the plug-in to perform a preliminary study on two programs. The results of our study are promising, in that BERT was able to identify true regression faults in the programs.",Regression testing;software evolution;dynamic analysis
5,Tedsuto: A General Framework for Testing Dynamic Software Updates,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)",2016,278,287,10.1109/ICST.2016.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515479,"Dynamic software updating (DSU) is a technique for patching running programs, to fix bugs or add new features. DSU avoids the downtime of stop-and-restart updates, but creates new risks -- an incorrect or ill-timed dynamic update could result in a crash or misbehavior, defeating the whole purpose of DSU. To reduce such risks, dynamic updates should be carefully tested before they are deployed. This paper presents Tedsuto, a general testing framework for DSU, along with a concrete implementation of it for Rubah, a state-of-the-art Java-based DSU system. Tedsuto uses system-level tests developed for the old and new versions of the updateable software, and systematically tests whether a dynamic update might result in a test failure. Very often this process is fully automated, while in some cases (e.g., to test new-version functionality) some manual annotations are required. To evaluate Tedsuto's efficacy, we applied it to dynamic updates previously developed (and tested in an ad hoc manner) for the H2 SQL database server and the CrossFTP server -- two real-world, multithreaded systems. We used three large test suites, totalling 446 tests, and we found a variety of update-related bugs quickly, and at low cost.",
6,Extension-Aware Automated Testing Based on Imperative Predicates,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)",2019,25,36,10.1109/ICST.2019.00013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8730211,"Bounded exhaustive testing (BET) techniques have been shown to be effective for detecting faults in software. BET techniques based on imperative predicates, enumerate all test inputs up to the given bounds such that each test input satisfies the properties encoded by the predicate. The search space is bounded by the user, who specifies the number of objects of each type and the list of values for each field of each type. To optimize the search, existing techniques detect isomorphic instances and record accessed fields during the execution of a predicate. However, these optimizations are extension-unaware, i.e., they do not speed up the search when the predicate is modified, say due to a fix or additional properties. We present a technique, named iGen, that speeds up test generation when imperative predicates are extended. iGen memoizes intermediate results of a test generation and reuses the results in a future search - even when the new search space differs from the old space. We integrated our technique in two BET tools (one for Java and one for Python) and evaluated these implementations with several data structure pairs, including two pairs from the Standard Java Library. Our results show that iGen speeds up test generation by up to 46.59x for the Java tool and up to 49.47x for the Python tool. Additionally, we show that the speedup obtained by iGen increases for larger test instances.",Bounded exhaustive testing;Imperative predicates;Korat;Alloy
7,Language-Agnostic Generation of Compilable Test Programs,"2020 IEEE 13th International Conference on Software Testing, Validation and Verification (ICST)",2020,39,50,10.1109/ICST46399.2020.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9159098,"Testing is an integral part of the development of compilers and other language processors. To automatically create large sets of test programs, random program generators, or fuzzers, have emerged. Unfortunately, existing approaches are either language-specific (and thus require a rewrite for each language) or may generate programs that violate rules of the respective programming language (which limits their usefulness). This work introduces *Smith, a language-agnostic framework for the generation of valid, compilable test programs. It takes as input an abstract attribute grammar that specifies the syntactic and semantic rules of a programming language. It then creates test programs that satisfy all these rules. By aggressively pruning the search space and keeping the construction as local as possible, *Smith can generate huge, complex test programs in short time. We present four case studies covering four real-world programming languages (C, Lua, SQL, and SMT-LIB 2) to show that *Smith is both efficient and effective, while being flexible enough to support programming languages that differ considerably. We found bugs in all four case studies. For example, *Smith detected 165 different crashes in older versions of GCC and LLVM.",fuzz testing;compilers;attribute grammars
0,Collecting and analyzing Web-based project metrics,IEEE Software,2002,52,58,10.1109/52.976941,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=976941,Metrics generated from real project data provide a valuable tool for evaluating and guiding performance. The authors describe their experience developing a Web-based project metrics system and encouraging its adoption. They also examine how such a system might encourage the adoption of metrics within a company.,
1,Evaluating Software Project Managers: A Multidimensional Perspective,IEEE Software,2017,104,108,10.1109/MS.2017.4121223,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8106867,"Qualified, motivated project managers are key contributors to software organizations. Experts have identified a capable project manager as the most important factor in a software project's success. Project managers' value to software projects, software engineers, and their companies is unquestionable. Thus, getting the most out of those managers is critical. The literature about knowledge workers' psychological profiles show that the best motivator is feedback about how well they've done. This is consistent with our experience in software project management and consulting. Frequent, detailed feedback can also be a positive learning experience and an opportunity to improve skills. Feedback and recognition require the evaluation of professionals, who must accept responsibility for their work if they're going to consider assessments as an opportunity instead of a burden. However, the criteria needed to evaluate professionals aren't obvious. Unfortunately, the literature provides little empirical data about evaluating software project managers. At best, the literature refers to assessing managers in terms of whether a project meets or exceeds its time and cost requirements. Our combined 50 years' experience in software project management (see the 鈥淥ur Experience in Software Project Management鈥 sidebar) has revealed some best practices for evaluating software project managers.",software project managers;evaluations;multidimensional;senior managers;software engineers;clients;balanced scorecard;software engineering;software development;Voice of Evidence
2,Asimov's Laws of Robotics Applied to Software,IEEE Software,2007,112,112,10.1109/MS.2007.100,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4267613,"In 1940, science fiction writer Isaac Asi- mov formulated the now-famous Three Laws of Robotics, which constrain robots to serve their human masters. These laws focused on the physical well-being of robots and humans. But they can also be applied to software in a more abstract manner, by focusing on human presence in cyberspace. In this vein, I suggest the following laws of software. While they are largely a restatement of known principles, uniting them in this way casts a new light on the contract between humanity and technology.",Asimov's Laws of Robotics;software requirements
6,Critical Requirements Engineering in Practice,IEEE Software,2020,17,24,10.1109/MS.2019.2944784,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8854246,"Software can raise issues about ethics, power, politics, and values. We show how Critical Systems Heuristics can be used to structure explorations of early requirements and provide a framework for developing a reflective understanding for justifying the project and system scope.",
7,Integrating usability techniques into software development,IEEE Software,2001,46,53,10.1109/52.903166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=903166,"Now merged into Siemens Medical Solutions Health Services, our company, formerly called Shared Medical Systems, creates clinical, financial, and administrative software for the healthcare industry. Like other medium to large companies, SMS had reached a scale and maturity level that required the development process to be documented, predictable, repeatable, measurable, and usable by the development groups. After much study and consideration, senior management committed to implementing a universal OO development methodology. Senior management recognized the need to improve customer satisfaction, which had always been high but needed to he better in an increasingly competitive market. Management saw the introduction of usability practices as a prime means to achieve this objective. So they began to place greater emphasis on usability-even to the point of building and staffing dual state-of-the-art usability labs. Our goal throughout the projects we describe was to combine the best OO analysis and design practices and usability techniques to create a powerful, unified way to develop software.",
8,Managing Slowdown in Improvement Projects,IEEE Software,2008,84,89,10.1109/MS.2008.151,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4670719,"Process improvement projects depend on the active participation of managers and senior engineers. At the telecom company Ericsson, change agents were frustrated that requests to participate in improvement projects often precipitated behavior from colleagues that hampered progress. However, rather than accepting slowdowns, the change agents started to ask why managers and senior engineers reacted this way even though Ericsson is highly committed to process improvement. In this article, we show how to analyze slowdown behavior, increase commitment and reinforce progress.",process improvement;progress;commitment;effort
9,Catching the brass ring [software engineering professional],IEEE Software,2004,12,14,10.1109/MS.2004.1293066,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1293066,"Eventhough most senior executives in the larger software firms boast engineering, marketing, legal, and business school backgrounds, most engineering organizations aren't led by the software people. We discuss about the factors that govern such selections and what software engineering professionals can do about it. We also discuss about why the software professionals often aren't tapped for top corporate leadership positions and about their role in the business organisations.",
10,Lessons Learned from Leading Workshops about Geographically Distributed Agile Teams,IEEE Software,2013,7,10,10.1109/MS.2013.33,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470584,"We've been teaching workshops about geographically distributed agile teams together and separately since March 2011. In that time, we've led workshops in New Zealand, Australia, Israel, Germany, and multiple times in the US, Saudi Arabia, and Canada. But it doesn't matter where we hold these workshops or where the project leaders or the company senior managers are located, we hear many of the same stories. The players vary, the context is often different, but underneath it all, we've seen a set of common mistakes and success factors. In this article, we bring these common aspects together into a set of lessons learned, with some concrete advice on how to avoid the mistakes and leverage and amplify the successes.",geographically distributed teams;project management;software teams
11,Practicing What We Preach,IEEE Software,2014,88,92,10.1109/MS.2014.10,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6750452,"The rhetorical question ""do we practice what we preach?"" still seems to be relevant, even a decade after it appeared on the requirements engineering research landscape. New perspectives from various seasoned professionals from India address the question yet again. The Web extra at http://youtu.be/QtJcaibyetw is an audio podcast of Requirements column editor Jane Cleland-Huang speaking with Tony Gorschek, a professor of software engineering at the Blekinge Institute of Technology with more than 10 years of experience as a CTO, senior executive consultant, engineer, chief architect, and product manager, about technology transfer in the requirements engineering field.",requirements;requirements engineering;fieldwork;requirements practitioners;India
12,Reducing Internet-based intrusions: Effective security patch management,IEEE Software,2003,50,57,10.1109/MS.2003.1159029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1159029,"The Software Productivity Consortium (the Consortium) has been investigating methods for improving and measuring four essential defenses against Internet-based threats: security patch management, system and application hardening, network reconnaissance and enumeration, and tools against malicious software. These defenses increasingly are critical to an organization's information security posture and should be implemented in an effective, systematic, and repeatable fashion. Senior-level managers or executives should review process measurement data regularly to ensure that these defenses are being performed properly and to provide an objective basis for organizational improvement. This article focuses on lessons learned implementing improvements in the first of these defenses, security patch management, and is derived largely from pilot projects conducted in collaboration with Consortium members. The need for improved security patch management figured prominently in the recent draft cyber security strategy issued by the White House. The practices examined in this article can assist organizations in substantially reducing the risk from Internet-based compromises.",
13,Jeremy Miller on Waterfall Versus Agile,IEEE Software,2020,107,C3,10.1109/MS.2020.2987493,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9121615,"Jeremy Miller is a senior software architect at Calavista Software. He is involved in open source .NET development as the author of StructureMap and Storyteller and as the lead developer of Marten. In Episode 401 of 鈥淪oftware Engineering Radio,鈥 host Jeff Doolittle spoke with Miller about Waterfall versus Agile, Extreme Programming, pair programming, specialization and self-contained teams, the emergence of Scrum, YAGNI, Agile teams, reversibility, nonfunctional requirements, integration testing, and abstraction and encapsulation. We provide summary excerpts in this column; to hear the full interview, visit http://www.se-radio.net or access our archives via RSS at http://feeds.feedburner.com/se-radio.",
